ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0000315032-24-000024	177964	0000315032	028-00534			STATE FARM MUTUAL AUTOMOBILE INSURANCE CO
0001085146-24-002435	178738	0001512237	028-14333			Global Endowment Management, LP
0000315032-24-000023	176796	0000315032	028-00534			STATE FARM MUTUAL AUTOMOBILE INSURANCE CO
0000315032-24-000023	176798	0000895213	028-04457			Capital International, Inc./CA/
0000315032-24-000023	176797	0001256909	028-10487			Northern Trust Investments, Inc
0001085146-24-002433	177032	0002011612	028-23932			Pathstone Holdings, LLC
0000318989-24-000117	177186	0000315066	028-00451			FMR LLC
0000318989-24-000116	178124	0000315066	028-00451			FMR LLC
0000318989-24-000115	177369	0000315066	028-00451			FMR LLC
0000318989-24-000114	178294	0000315066	028-00451			FMR LLC
0000318989-24-000113	177143	0000315066	028-00451			FMR LLC
0000318989-24-000112	177245	0000315066	028-00451			FMR LLC
0000318989-24-000111	177047	0000315066	028-00451			FMR LLC
0000318989-24-000110	177887	0000315066	028-00451			FMR LLC
0000318989-24-000109	177727	0000315066	028-00451			FMR LLC
0000318989-24-000108	177630	0000315066	028-00451			FMR LLC
0001214659-24-008872	177720			000285013	801-126302	AIGH Capital Management, LLC
0001214659-24-008872	177721			000170377	801-79166	DLD Asset Management, LP
0000919574-24-002855	177048	0001851296	028-21720			Timelo Investment Management Inc.
0000318989-24-000106	178689	0000318989	028-00939			FIL Ltd
0000950123-24-004594	177316		028-20878			H&F Corporate Investors VIII, Ltd.
0000950123-24-004593	177395					H&F Corporate Investors IX, Ltd.
0000318989-24-000105	177156	0000318989	028-00939			FIL Ltd
0000318989-24-000104	176963	0000318989	028-00939			FIL Ltd
0001445546-24-003641	177008	0001123778	028-06075	000107390		JARISLOWSKY, FRASER Ltd
0001445546-24-003641	177009	0001274173	028-10904			JANUS HENDERSON GROUP PLC
0001445546-24-003641	177010	0001388814	028-12170	000140799		Energy Income Partners, LLC
0001445546-24-003641	177011	0001418333	028-13120			MACQUARIE GROUP LTD
0001445546-24-003641	177012	0001442056	028-13334	000146019		CONFLUENCE INVESTMENT MANAGEMENT LLC
0001445546-24-003641	177007	0000938487	028-04720	000104889		SSI INVESTMENT MANAGEMENT LLC
0001445546-24-003641	177013	0001616525	028-16224	000170335		CHARTWELL INVESTMENT PARTNERS, LLC
0001445546-24-003641	177014	0001604488	028-17430	000317825		First Trust Capital Management L.P.
0001445546-24-003641	177015	0001709632	028-20621	000165976		Vest Financial, LLC
0001445546-24-003641	177006	0000061227	028-00046	000107717		MACKAY SHIELDS LLC
0000318989-24-000103	177579	0000318989	028-00939			FIL Ltd
0000950123-24-004585	177535		028-22524			H&F Corporate Investors X, Ltd.
0000318989-24-000102	178517	0000318989	028-00939			FIL Ltd
0000318989-24-000101	179051	0000318989	028-00939			FIL Ltd
0000318989-24-000100	178065	0000318989	028-00939			FIL Ltd
0001420506-24-000780	178658	0001927543	028-22515			Atria Wealth Solutions, Inc.
0001420506-24-000778	177528	0001927543	028-22515			Atria Wealth Solutions, Inc.
0000318989-24-000099	177184	0000318989	028-00939			FIL Ltd
0001420506-24-000776	178252	0001927543	028-22515			Atria Wealth Solutions, Inc.
